Freq,Real,image,Type
1,166.546906,72.551132,bad
1.452223,150.708633,58.353806,bad
2.108953,140.808487,46.894493,bad
3.062671,133.832031,38.583382,bad
4.447683,128.23584,32.786995,bad
6.459029,123.113129,28.840519,bad
9.379953,118.083809,26.189548,bad
13.621789,112.965904,24.30757,bad
19.781881,107.7379,22.75589,bad
28.727713,102.567657,21.166351,bad
41.719059,97.771065,19.423676,bad
60.585392,93.495766,17.647453,bad
87.983528,89.781586,16.03581,bad
127.771744,86.486092,14.699151,bad
185.553131,83.32785,13.620355,bad
269.4646,80.352394,12.803904,bad
391.322815,77.450699,11.986962,bad
568.288208,74.596207,11.123235,bad
825.281433,71.867874,10.171768,bad
1198.493042,69.305077,9.054997,bad
1740.479736,66.973534,7.731716,bad
2527.56543,64.844109,6.175377,bad
3670.589844,62.934799,4.2203,bad
5330.516602,61.349243,1.865553,bad
7741.101563,60.005524,-1.072576,bad
11241.80957,58.770569,-4.752413,bad
16325.61914,57.280998,-9.733802,bad
23708.44727,55.464165,-17.375198,bad
34429.96484,54.029972,-29.307589,bad
50000,54.315639,-47.115208,bad
1,166.903824,72.904953,bad
1.452223,151.002563,58.549477,bad
2.108953,141.075668,47.07901,bad
3.062671,134.046661,38.709717,bad
4.447683,128.429276,32.911865,bad
6.459029,123.273811,28.953367,bad
9.379953,118.212906,26.315748,bad
13.621789,113.045212,24.414579,bad
19.781881,107.790359,22.856804,bad
28.727713,102.599083,21.251217,bad
41.719059,97.789581,19.481758,bad
60.585392,93.502357,17.691475,bad
87.983528,89.77803,16.070505,bad
127.771744,86.450432,14.786081,bad
185.553131,83.328217,13.6398,bad
269.4646,80.365776,12.818682,bad
391.322815,77.446632,11.993616,bad
568.288208,74.597702,11.149136,bad
825.281433,71.856209,10.187937,bad
1198.493042,69.288918,9.083107,bad
1740.479736,66.953018,7.739789,bad
2527.56543,64.823624,6.174059,bad
3670.589844,62.895,4.219658,bad
5330.516602,61.306763,1.845602,bad
7741.101563,59.997688,-1.098738,bad
11241.80957,58.727638,-4.74282,bad
16325.61914,57.248993,-9.714973,bad
23708.44727,55.414368,-17.350477,bad
34429.96484,53.947372,-29.308165,bad
50000,54.271965,-47.164021,bad
1,167.046616,73.053513,bad
1.452223,151.145981,58.615829,bad
2.108953,141.21904,47.179863,bad
3.062671,134.192902,38.801765,bad
4.447683,128.545609,32.990242,bad
6.459029,123.364426,29.031172,bad
9.379953,118.272194,26.382334,bad
13.621789,113.096146,24.488956,bad
19.781881,107.816338,22.914904,bad
28.727713,102.609955,21.304316,bad
41.719059,97.789749,19.528639,bad
60.585392,93.500404,17.724661,bad
87.983528,89.772148,16.096411,bad
127.771744,86.433197,14.790623,bad
185.553131,83.324554,13.674456,bad
269.4646,80.31839,12.826454,bad
391.322815,77.415512,11.973211,bad
568.288208,74.534439,11.178776,bad
