End_Mkt_Segment,Fiscal_Mth,Director,Region,BU,Revenue,PAV
AEG,201811,EHSU2,TA,ADEFTG,144815,2980700
AEG,201811,EHSU2,TA,AEGTG,178021,1588304
AEG,201811,EHSU2,TA,AEITG,42278,3827447
AEG,201811,EHSU2,TA,CHNTG,371,86528
AEG,201811,EHSU2,TA,COMTG,42146,675178
AEG,201811,EHSU2,TA,CSTG,34458,1511320
AEG,201811,EHSU2,TA,PPGTG,758055,24573043
AEG,201811,EHSU2,TA,PTPTG,4182008,40302673
AEG,201811,MWAN,AL,AEGTG,219,169000
AEG,201811,MWAN,AL,COMTG,10840,80030
AEG,201811,MWAN,AL,DHCTG,3468,600000
AEG,201811,MWAN,AL,PPGTG,239385,2412072
AEG,201811,MWAN,AL,PTPTG,49527,2325960
AEG,201811,MWAN,AS,ADEFTG,3022,1191242
AEG,201811,MWAN,AS,AEGTG,100948,2748300
AEG,201811,MWAN,AS,COMTG,564,295089
AEG,201811,MWAN,AS,PPGTG,70870,8178066
AEG,201811,MWAN,AS,PTPTG,177679,8852122
AEG,201811,MWAN,IN,ADEFTG,14711,993315
AEG,201811,MWAN,IN,AEGTG,94074,2366500
AEG,201811,MWAN,IN,AEITG,92288,1863510
AEG,201811,MWAN,IN,COMTG,23932,476130
AEG,201811,MWAN,IN,PPGTG,126734,5321200
AEG,201811,MWAN,IN,PTPTG,819717,11425044
AEG,201811,SHONG,KR,ADEFTG,110259,1482010
AEG,201811,SHONG,KR,AEGTG,77397,1269400
AEG,201811,SHONG,KR,AEITG,125611,1840426
AEG,201811,SHONG,KR,COMTG,113235,1394800
AEG,201811,SHONG,KR,CSTG,1373,3306360
AEG,201811,SHONG,KR,PPGTG,169653,6270776
AEG,201811,SHONG,KR,PTPTG,712585,8390056
AEG,201812,EHSU2,TA,ADEFTG,86356,2123750
AEG,201812,EHSU2,TA,AEGTG,146690,1568289
AEG,201812,EHSU2,TA,AEITG,35378,4813412
AEG,201812,EHSU2,TA,COMTG,108841,679133
AEG,201812,EHSU2,TA,CSTG,22002,1506520
AEG,201812,EHSU2,TA,PPGTG,1020429,25057908
AEG,201812,EHSU2,TA,PTPTG,3181198,39964445
AEG,201812,MWAN,AL,AEGTG,570,169000
AEG,201812,MWAN,AL,AEITG,449,143420
AEG,201812,MWAN,AL,COMTG,15701,87850
AEG,201812,MWAN,AL,PPGTG,213106,1856972
AEG,201812,MWAN,AL,PTPTG,87511,1309960
AEG,201812,MWAN,AS,ADEFTG,1026,1050143
AEG,201812,MWAN,AS,AEGTG,314923,1736300
AEG,201812,MWAN,AS,AEITG,10285,2129290
AEG,201812,MWAN,AS,COMTG,8172,327800
AEG,201812,MWAN,AS,PPGTG,169056,7628129
AEG,201812,MWAN,AS,PTPTG,231060,8395877
AEG,201812,MWAN,IN,ADEFTG,6720,2040815
AEG,201812,MWAN,IN,AEGTG,104369,1552860
AEG,201812,MWAN,IN,AEITG,4594,1796460
AEG,201812,MWAN,IN,COMTG,17884,390780
AEG,201812,MWAN,IN,CSTG,80,41000
AEG,201812,MWAN,IN,PPGTG,312430,5197600
